scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus chiguanco,-65.0052613,-32.3200869,S23901570,Argentina,obs521880,S23901570,2,true,AR-D,L3720381,Traveling,30-10-04,2004,15,120,1,2
Turdus chiguanco,-64.97546,-32.3782,S23907619,Argentina,obs521880,S23907619,2,true,AR-D,L3721524,Traveling,10-06-04,2004,10.5,150,3,2
Turdus chiguanco,-64.9810195,-32.33287,S23908301,Argentina,obs521880,S23908301,1,true,AR-D,L3721658,Traveling,27-06-04,2004,11,90,2,2
Turdus chiguanco,-65.8009386,-32.2827064,S23966381,Argentina,obs521880,S23966381,1,true,AR-D,L3733838,Traveling,28-02-04,2004,16,120,2,4
Turdus chiguanco,-78.5214221,-1.1746316,S24799403,Ecuador,obs104762,S24799403,7,true,EC-T,L3875513,Stationary,21-04-04,2004,6.55,10,0,1
Turdus chiguanco,-78.6670661,-1.0456873,S24799442,Ecuador,obs104762,S24799442,4,true,EC-X,L3875531,Stationary,28-04-04,2004,6.416666667,10,0,1
Turdus chiguanco,-78.6439347,-1.0059541,S24799477,Ecuador,obs104762,S24799477,6,true,EC-X,L3875533,Stationary,01-05-04,2004,6.683333333,10,0,1
Turdus chiguanco,-78.6482692,-1.8052628,S24799528,Ecuador,obs104762,S24799528,3,true,EC-H,L3875539,Stationary,10-05-04,2004,6.716666667,10,0,1
Turdus chiguanco,-78.6281633,-1.8730613,S24799577,Ecuador,obs104762,S24799577,5,true,EC-H,L3875551,Stationary,13-05-04,2004,6.483333333,10,0,1
Turdus chiguanco,-78.5425258,-1.5541445,S24799633,Ecuador,obs104762,S24799633,2,true,EC-H,L3875560,Stationary,20-05-04,2004,6.65,10,0,1
Turdus chiguanco,-78.559134,-1.6263432,S24799729,Ecuador,obs104762,S24799729,2,true,EC-H,L3875574,Stationary,24-05-04,2004,6.716666667,10,0,1
Turdus chiguanco,-78.5271513,-1.0866508,S24799851,Ecuador,obs104762,S24799851,1,true,EC-T,L3875594,Stationary,04-06-04,2004,7.116666667,10,0,1
Turdus chiguanco,-78.7393355,-1.799086,S24799890,Ecuador,obs104762,S24799890,3,true,EC-H,L3875600,Stationary,10-06-04,2004,6.666666667,10,0,1
Turdus chiguanco,-78.730967,-1.8552336,S24799938,Ecuador,obs104762,S24799938,7,true,EC-H,L3875605,Stationary,13-06-04,2004,6.666666667,10,0,1
Turdus chiguanco,-78.7414384,-1.5129605,S24799979,Ecuador,obs104762,S24799979,2,true,EC-H,L3875610,Stationary,24-06-04,2004,6.833333333,10,0,1
Turdus chiguanco,-78.6932445,-1.5354831,S24800030,Ecuador,obs104762,S24800030,2,true,EC-H,L3875622,Stationary,01-07-04,2004,6.8,10,0,1
Turdus chiguanco,-78.7593073,-1.595629,S24800060,Ecuador,obs104762,S24800060,8,true,EC-H,L3875627,Stationary,08-07-04,2004,6.833333333,10,0,1
Turdus chiguanco,-65.3175884,-19.1547459,S26774696,Bolivia,obs279344,S26774696,1,true,BO-H,L4141106,Traveling,10-08-04,2004,14.5,15,0.08,1
Turdus chiguanco,-78.6169624,-0.7647287,S20825476,Ecuador,obs35756,S20825476,1,true,EC-X,L471693,Traveling,03-11-04,2004,17.33333333,30,0.483,1
Turdus chiguanco,-65.4801893,-24.1096491,S9106762,Argentina,obs188371,S9106762,,true,AR-Y,L4748801,Traveling,19-06-04,2004,16,60,1.609,4
Turdus chiguanco,-65.3585243,-23.3054484,S39981085,Argentina,obs966002,S39981085,2,true,AR-Y,L5113951,Traveling,10-04-04,2004,7.5,165,4,1
Turdus chiguanco,-72.5245714,-13.154796,S69167284,Peru,obs293684,S69167284,,true,PE-CUS,L602264,Traveling,30-12-04,2004,6,225,3,2
