scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,state_code,locality_id,protocol_type,observation_date,year,month,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus amaurochalinus,-56.4065123,-34.7708066,S27952443,Uruguay,obs249807,S27952443,2,UY-SJ,L4334467,Traveling,03-03-16,2016,3,7,180,1.609,4
Turdus amaurochalinus,-66.2639093,-30.6319768,S28069349,Argentina,obs533115,S28069349,2,AR-F,L4352778,Stationary,05-03-16,2016,3,9,120,0,2
Turdus amaurochalinus,-48.5153461,-27.7423404,S30540403,Brazil,obs450946,S30540403,12,BR-SC,L4372795,Traveling,02-07-16,2016,7,8.5,180,4,4
Turdus amaurochalinus,-58.829062,-27.4603009,S31493803,Argentina,obs228451,S31493803,2,AR-W,L4380039,Stationary,08-09-16,2016,9,16.06666667,60,0,2
Turdus amaurochalinus,-60.6544722,-31.9131437,S28151388,Argentina,obs176749,S28151388,4,AR-E,L4380527,Traveling,13-03-16,2016,3,18.23333333,60,3,1
Turdus amaurochalinus,-56.1177259,-34.882247,S32008219,Uruguay,obs643964,S32008219,2,UY-MO,L4382278,Stationary,12-10-16,2016,10,15.83333333,5,0,1
Turdus amaurochalinus,-45.4718492,-22.9591543,S30952645,Brazil,obs537362,S30952645,2,BR-SP,L4400356,Stationary,01-08-16,2016,8,13.71666667,6,0,1
Turdus amaurochalinus,-55.7233429,-34.7521913,S28462674,Uruguay,obs434310,S28462674,1,UY-CA,L4401171,Stationary,19-03-16,2016,3,8,120,0,2
Turdus amaurochalinus,-54.1544867,-34.6455753,S29640676,Uruguay,obs731952,S29640676,2,UY-RO,L4406138,Traveling,14-05-16,2016,5,8.333333333,180,1,1
Turdus amaurochalinus,-57.5177354,-25.3332046,S30847824,Paraguay,obs666199,S30847824,1,PY-11,L4411333,Traveling,25-07-16,2016,7,15.63333333,92,2,1
Turdus amaurochalinus,-55.6507335,-34.7743498,S28483526,Uruguay,obs612040,S28483526,2,UY-CA,L4412404,Traveling,22-03-16,2016,3,12.01666667,15,0.9,2
Turdus amaurochalinus,-48.613281,-25.908919,S28503418,Brazil,obs533971,S28503418,1,BR-PR,L4412755,Stationary,23-03-16,2016,3,7.75,83,0,1
Turdus amaurochalinus,-55.0382723,-34.8830997,S33203933,Uruguay,obs622516,S33203933,1,UY-MA,L4419114,Traveling,25-12-16,2016,12,16.41666667,132,2,1
Turdus amaurochalinus,-42.8817407,-22.4367823,S29119956,Brazil,obs425788,S29119956,1,BR-RJ,L4423970,Traveling,22-04-16,2016,4,9.5,120,5,1
Turdus amaurochalinus,-47.0884937,-23.6514093,S31297473,Brazil,obs723743,S31297473,2,BR-SP,L4428977,Traveling,28-08-16,2016,8,15,151,5,2
Turdus amaurochalinus,-58.2089722,-31.8765442,S28589028,Argentina,obs176749,S28589028,4,AR-E,L4430027,Traveling,27-03-16,2016,3,13.56666667,170,4,2
Turdus amaurochalinus,-58.2150309,-26.2925355,S28611376,Argentina,obs228451,S28611376,1,AR-P,L4433468,Traveling,27-03-16,2016,3,17.18333333,60,2,1
Turdus amaurochalinus,-58.2137292,-26.3054333,S28611403,Argentina,obs228451,S28611403,1,AR-P,L4433474,Stationary,27-03-16,2016,3,18.01666667,15,0,1
Turdus amaurochalinus,-56.167884,-34.914326,S28624383,Uruguay,obs523464,S28624383,1,UY-MO,L4435539,Traveling,25-03-16,2016,3,13.16666667,65,1.609,4
Turdus amaurochalinus,-43.228383,-22.527676,S32140982,Brazil,obs112834,S32140982,1,BR-RJ,L4448495,Traveling,23-09-16,2016,9,5.666666667,300,1,1
Turdus amaurochalinus,-43.283477,-22.594855,S30492240,Brazil,obs112834,S30492240,1,BR-RJ,L4448502,Traveling,13-06-16,2016,6,6,180,1,1
Turdus amaurochalinus,-46.9874339,-22.8088642,S28894308,Brazil,obs166223,S28894308,1,BR-SP,L4478910,Stationary,09-04-16,2016,4,7,90,0,3
Turdus amaurochalinus,-56.3333845,-34.7933651,S28909323,Uruguay,obs495381,S28909323,2,UY-MO,L4481147,Traveling,10-04-16,2016,4,9,180,2,1
Turdus amaurochalinus,-40.9926728,-22.0003648,S30266666,Brazil,obs741785,S30266666,,BR-RJ,L4486762,Traveling,17-06-16,2016,6,9.816666667,113,2,3
Turdus amaurochalinus,-41.77533,-20.5802463,S32589716,Brazil,obs501068,S32589716,3,BR-ES,L4490673,Traveling,17-11-16,2016,11,5.983333333,203,2.8,1
Turdus amaurochalinus,-56.1673665,-34.9136663,S32268083,Uruguay,obs495381,S32268083,3,UY-MO,L4498099,Stationary,28-10-16,2016,10,14.83333333,60,0,1
Turdus amaurochalinus,-45.4053205,-22.4704924,S29013809,Brazil,obs622520,S29013809,,BR-MG,L4499613,Traveling,17-04-16,2016,4,16.23333333,90,1,1
Turdus amaurochalinus,-58.2068539,-31.2654206,S31864366,Argentina,obs662974,S31864366,1,AR-E,L4501138,Traveling,02-10-16,2016,10,17.16666667,120,5,2
Turdus amaurochalinus,-46.6553977,-23.3323567,S29035070,Brazil,obs651918,S29035070,1,BR-SP,L4504591,Traveling,17-04-16,2016,4,6.5,180,1.5,1
Turdus amaurochalinus,-43.8730196,-19.9962216,S29154373,Brazil,obs651387,S29154373,1,BR-MG,L4525896,Stationary,23-04-16,2016,4,20.1,240,0,6
Turdus amaurochalinus,-47.4651647,-13.7993502,S29168507,Brazil,obs634351,S29168507,2,BR-GO,L4528306,Traveling,19-04-16,2016,4,6.333333333,140,4,1
Turdus amaurochalinus,-51.2351811,-23.3769653,S29286620,Brazil,obs419389,S29286620,2,BR-PR,L4537267,Traveling,29-04-16,2016,4,16,30,0.5,1
Turdus amaurochalinus,-41.7622716,-20.5878623,S30022954,Brazil,obs467819,S30022954,1,BR-ES,L4539287,Stationary,01-06-16,2016,6,8.233333333,178,0,1
Turdus amaurochalinus,-47.5756516,-22.397003,S29455375,Brazil,obs730004,S29455375,1,BR-SP,L4539951,Stationary,07-05-16,2016,5,6.75,150,0,1
Turdus amaurochalinus,-46.730574,-23.5949266,S29262880,Brazil,obs497755,S29262880,1,BR-SP,L4541955,Stationary,28-04-16,2016,4,10.65,60,0,1
