scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus rufiventris,-55.264276,-34.886123,S143271652,Uruguay,obs521964,S143271652,3,true,UY-MA,L18518372,Traveling,01-07-23,2023,17.63333333,20,0.77,1
Turdus rufiventris,-47.3504117,-24.0297133,S145033735,Brazil,obs3215846,S145033735,2,true,BR-SP,L19100340,Traveling,19-07-23,2023,14.3,105,2.527,1
Turdus rufiventris,-58.3985326,-34.6687949,S144989353,Argentina,obs1540372,S144989353,1,true,AR-B,L19152469,Stationary,19-07-23,2023,7.816666667,7,0,1
Turdus rufiventris,-43.7986688,-20.6808062,S145365385,Brazil,obs825775,S145365385,1,true,BR-MG,L19474939,Traveling,23-07-23,2023,7.666666667,80,0.36,1
Turdus rufiventris,-64.4764195,-32.1868357,S144077026,Argentina,obs502907,S144077026,1,true,AR-X,L19614325,Stationary,08-07-23,2023,13.41666667,45,0,2
Turdus rufiventris,-59.6613361,-33.671879,S144658397,Argentina,obs3073883,S144658397,2,true,AR-B,L19727767,Traveling,15-07-23,2023,14.88333333,90,1.97,1
Turdus rufiventris,-46.8829411,-23.4666075,S145655335,Brazil,obs801813,S145655335,1,true,BR-SP,L20078507,Traveling,26-07-23,2023,6.9,180,2.6,1
Turdus rufiventris,-47.5330221,-23.9460193,S144967409,Brazil,obs1163054,S144967409,2,true,BR-SP,L20151105,Traveling,18-07-23,2023,16.15,30,0.18,1
Turdus rufiventris,-68.8193165,-32.93904,S143496731,Argentina,obs1945802,S143496731,5,true,AR-M,L20162572,Traveling,02-07-23,2023,11.16666667,60,4,1
Turdus rufiventris,-39.096676,-16.579777,S143919173,Brazil,obs3224429,S143919173,2,true,BR-BA,L20175131,Stationary,08-07-23,2023,14.16666667,3,0,1
Turdus rufiventris,-64.5490792,-31.7750153,S143938075,Argentina,obs556074,S143938075,1,true,AR-X,L20303421,Traveling,08-07-23,2023,17.01666667,60,2,1
Turdus rufiventris,-56.0148239,-28.5706906,S144638813,Argentina,obs1086468,S144638813,1,true,AR-W,L20310091,Traveling,15-07-23,2023,15.36666667,26,0.709,1
Turdus rufiventris,-39.4146817,-7.2388567,S144928424,Brazil,obs2237917,S144928424,1,true,BR-CE,L20323730,Traveling,18-07-23,2023,12.7,26,0.113,1
Turdus rufiventris,-47.6688,-15.975801,S144636794,Brazil,obs971107,S144636794,2,true,BR-DF,L20357773,Traveling,14-07-23,2023,8.266666667,154,2.104,1
Turdus rufiventris,-56.774107,-17.364676,S145851308,Brazil,obs290792,S145851308,1,true,BR-MT,L20616400,Traveling,28-07-23,2023,15.86666667,112,2.118,4
Turdus rufiventris,-49.2229356,-25.5255978,S145815272,Brazil,obs1467949,S145815272,1,true,BR-PR,L20650265,Traveling,28-07-23,2023,10.03333333,65,3.27,1
Turdus rufiventris,-49.0111189,-27.6575787,S151707660,Brazil,obs1150776,S151707660,1,true,BR-SC,L21169928,Traveling,06-07-23,2023,17.06666667,4,0.11,2
